Gene ID	Gene Name	Design Element	'triple negative breast cancer tumor' vs 'non-triple negative breast cancer tumor'.p-value	'triple negative breast cancer tumor' vs 'non-triple negative breast cancer tumor'.t-statistic	'triple negative breast cancer tumor' vs 'non-triple negative breast cancer tumor'.log2foldchange
ENSG00000003137	CYP26B1	8052947	NA	1.59084239828872	0.2
ENSG00000003147	ICA1	8138202	NA	-3.0739872672196	-0.6
ENSG00000003249	DBNDD1	8003560	NA	0.222585086284441	0
ENSG00000003393	ALS2	8058295	NA	-1.09136278531601	-0.1
ENSG00000003400	CASP10	8047403	0.57764802079993	1.22133542888627	0.4
ENSG00000003402	CFLAR	8047381	NA	1.0222444021041	0.3
ENSG00000003436	TFPI	8057599	0.736330006169459	0.866323529873814	0.3
ENSG00000003509	NDUFAF7	8041495	NA	1.53519373657527	0.2
ENSG00000003756	RBM5	8079869	NA	0.536092294094598	0.1
ENSG00000003987	MTMR7	8149485	NA	-0.456310347596557	-0.1
ENSG00000003989	SLC7A2	8144786	0.721529912203647	-0.90208827476091	-0.6
ENSG00000004059	ARF5	8135856	NA	0.136158241112807	0
ENSG00000004139	SARM1	8005865	NA	-0.922710326125264	-0.1
ENSG00000004142	POLDIP2	8013588	0.509958902897077	-1.40362478179103	-0.4
ENSG00000004399	PLXND1	8090591	NA	0.44075757823732	0.1
ENSG00000004455	AK2	7914617	NA	0.418831855181781	0.1
ENSG00000004468	CD38	8094240	0.217198433647922	2.41691557317741	0.9
ENSG00000004478	FKBP4	7953100	0.840944004041866	-0.565372695304389	-0.2
ENSG00000004487	KDM1A	7898833	NA	0.422368259270856	0.1
ENSG00000004534	RBM6	8079842	NA	0.704044037997308	0.1
ENSG00000004660	CAMKK1	8011480	NA	0.416621958828518	0.1
ENSG00000004700	RECQL	7961654	NA	-0.0832515929274971	0
ENSG00000004766	VPS50	8134219	NA	-0.468925848136157	-0.1
ENSG00000004776	HSPB6	8036151	NA	0.870471809135882	0.2
ENSG00000004777	ARHGAP33	8028030	NA	0.464493830224634	0.1
ENSG00000004779	NDUFAB1	8000323	NA	-0.442631866457512	-0.1
ENSG00000004799	PDK4	8141094	0.946815681004665	0.231292328002456	0.1
ENSG00000004809	SLC22A16	8128850	NA	1.3910526388836	0.1
ENSG00000004838	ZMYND10	8087653	NA	-0.977344254294169	-0.2
ENSG00000004846	ABCB5	8131682	NA	0.545377310838681	0.1
ENSG00000004848	ARX	8171867	NA	1.79389183663775	0.2
ENSG00000004864	SLC25A13	8141107	NA	2.51509300757838	0.5
ENSG00000004866	ST7	8135638	NA	-0.96719841072576	-0.1
ENSG00000004897	CDC27	8016324	NA	-0.305591544747705	0
ENSG00000004939	SLC4A1	8015991	NA	2.36597412177666	0.3
ENSG00000004948	CALCR	8140995	NA	-0.304138127967964	-0.1
ENSG00000004961	HCCS	8165995	NA	-1.20528949644624	-0.3
ENSG00000004975	DVL2	8012079	NA	1.62770629975473	0.2
ENSG00000005001	PRSS22	7998878	NA	0.357078202278038	0.1
ENSG00000005007	UPF1	8027074	NA	-0.883692920079432	-0.1
ENSG00000005020	SKAP2	8138689	NA	0.0280760427497923	0
ENSG00000005022	SLC25A5	8169640	NA	0.504883255055069	0.1
ENSG00000005059	MCUB	8096808	NA	1.31625305364725	0.2
ENSG00000005073	HOXA11	8138765	NA	0.235738614677321	0
ENSG00000005075	POLR2J	8141762	NA	0.86660705939217	0.1
ENSG00000005100	DHX33	8011861	NA	0.743211284844894	0.1
ENSG00000005102	MEOX1	8015821	NA	1.29578003178496	0.3
ENSG00000005108	THSD7A	8138231	NA	0.819988964426434	0.2
ENSG00000005156	LIG3	8006479	NA	-0.158612006142473	0
ENSG00000005175	RPAP3	7962590	NA	-0.684412679243388	-0.1
ENSG00000005187	ACSM3	7993756	0.509958902897077	1.40350582060276	1
ENSG00000005189	REXO5	7993776	NA	-1.72245876344646	-0.5
ENSG00000005194	CIAPIN1	8001552	NA	0.195652916915992	0
ENSG00000005206	SPPL2B	8024446	NA	0.180891121770682	0
ENSG00000005238	FAM214B	8160981	NA	0.232026584556251	0
ENSG00000005243	COPZ2	8016390	NA	-1.16045915682822	-0.2
ENSG00000005249	PRKAR2B	8135378	0.873656964571402	0.470146230497792	0.2
ENSG00000005302	MSL3	8166015	NA	3.82424685414996	0.5
ENSG00000005339	CREBBP	7999044	NA	-0.55497343801426	-0.1
ENSG00000005379	TSPOAP1	8016947	NA	-0.0125165977804261	0
ENSG00000005381	MPO	8016932	NA	0.614639931439862	0.1
ENSG00000005421	PON1	8141052	NA	-1.48857313266156	-0.4
ENSG00000005436	GCFC2	8053288	NA	-0.332253250465738	0
ENSG00000005448	WDR54	8042843	0.531320680064629	-1.3517070782016	-0.4
ENSG00000005469	CROT	8133938	0.310627699305676	-2.01789937773196	-0.9
ENSG00000005471	ABCB4	8140752	NA	2.9971791175785	0.5
ENSG00000005483	KMT2E	8135277	NA	0.403275684847393	0.1
ENSG00000005486	RHBDD2	8133662	0.464817110512284	-1.5104056074933	-0.5
ENSG00000005513	SOX8	7992125	NA	2.27753500093208	0.3
ENSG00000005700	IBTK	8127787	NA	-0.631315730433744	-0.1
ENSG00000005801	ZNF195	7945864	NA	-0.168965000503564	0
ENSG00000005810	MYCBP2	7972069	NA	1.24414701831644	0.3
ENSG00000005812	FBXL3	7972062	NA	-1.63178665037597	-0.3
ENSG00000005844	ITGAL	7994826	0.398744932103776	1.69090670224101	0.6
ENSG00000005882	PDK2	8008263	0.87397736864585	0.463034460874245	0.2
ENSG00000005884	ITGA3	8008237	NA	-1.99154278802461	-0.6
ENSG00000005889	ZFX	8166500	NA	-0.42133682189139	-0.1
ENSG00000005893	LAMP2	8174779	NA	0.336246285447331	0.1
ENSG00000005961	ITGA2B	8016044	NA	1.39935237314467	0.1
ENSG00000005981	ASB4	8134376	NA	-0.343533948201765	0
ENSG00000006007	GDE1	7999889	NA	-1.62529911505731	-0.4
ENSG00000006015	REX1BD	8027032	NA	0.432154419282591	0
ENSG00000006016	CRLF1	8035506	NA	1.96749445807384	0.2
ENSG00000006025	OSBPL7	8016336	NA	1.0681304672508	0.1
ENSG00000006042	TMEM98	8006415	NA	-0.321492303975946	-0.1
ENSG00000006047	YBX2	8012140	NA	-0.227091831253523	0
ENSG00000006059	KRT33A	8015257	NA	0.422204785190402	0.1
ENSG00000006062	MAP3K14	8016194	NA	2.31762824759587	0.3
ENSG00000006071	ABCC8	7946860	NA	-0.931035368932284	-0.2
ENSG00000006116	CACNG3	7994152	NA	1.05166925938615	0.1
ENSG00000006118	TMEM132A	7940377	0.430567921056532	1.60043730758757	0.5
ENSG00000006125	AP2B1	8006542	NA	-1.43583548820885	-0.2
ENSG00000006128	TAC1	8134420	NA	0.272891312817324	0
ENSG00000006194	ZNF263	7992870	NA	-1.24515547553596	-0.3
ENSG00000006210	CX3CL1	7996027	0.834462897262883	0.581321363419215	0.2
ENSG00000006282	SPATA20	8008388	NA	-2.61394936442592	-0.5
ENSG00000006283	CACNA1G	8008409	NA	1.74723753585472	0.2
ENSG00000006327	TNFRSF12A	7992789	NA	-0.781606539404184	-0.2
ENSG00000006377	DLX6	8134407	NA	-0.522709067944473	0
ENSG00000006432	MAP3K9	7979943	NA	-0.528320147808009	-0.1
ENSG00000006451	RALA	8132406	NA	-1.02800547183713	-0.2
ENSG00000006453	BAIAP2L1	8141206	0.746356718660964	0.837497868490493	0.3
ENSG00000006459	KDM7A	8143341	NA	0.754371338030151	0.2
ENSG00000006468	ETV1	8138289	NA	-0.254481375110094	-0.1
ENSG00000006530	AGK	8136614	NA	0.291794798965106	0.1
ENSG00000006534	ALDH3B1	7941961	NA	-1.30773051744642	-0.1
ENSG00000006555	TTC22	7916425	0.72254332213939	0.899938349324863	0.3
ENSG00000006576	PHTF2	8133818	NA	0.105813498055781	0
ENSG00000006606	CCL26	8140358	NA	0.229511294329347	0
ENSG00000006607	FARP2	8049847	NA	-0.58937560502995	-0.1
ENSG00000006611	USH1C	7946903	NA	0.936867403798615	0.1
ENSG00000006625	GGCT	8138857	NA	-0.334782295050179	-0.1
ENSG00000006634	DBF4	8133976	NA	0.571423544528644	0.1
ENSG00000006638	TBXA2R	8032623	NA	1.9686647651087	0.2
ENSG00000006659	LGALS14	8028750	NA	1.64099907933331	0.2
ENSG00000006695	COX10	8005089	NA	1.37341140613906	0.2
ENSG00000006704	GTF2IRD1	8133477	NA	-1.17612780822347	-0.3
ENSG00000006712	PAF1	8036720	NA	-1.86030971332657	-0.2
ENSG00000006715	VPS41	8139165	NA	-1.17772685911877	-0.2
ENSG00000006740	ARHGAP44	8005064	NA	-1.37779838385284	-0.4
ENSG00000006744	ELAC2	8012856	NA	0.534256501384097	0.1
ENSG00000006747	SCIN	8131550	0.341157411477476	-1.89209564060237	-0.9
ENSG00000006756	ARSD	8171148	NA	-1.0430750018372	-0.3
ENSG00000006757	PNPLA4	8171229	NA	-2.22666820236194	-0.6
ENSG00000006788	MYH13	8012625	NA	3.48888511003319	0.3
ENSG00000006831	ADIPOR2	7953021	0.548437925180005	-1.29395977074591	-0.4
ENSG00000007001	UPP2	8045848	NA	1.11455495097672	0.1
ENSG00000007038	PRSS21	7992722	NA	1.55283818028176	0.2
ENSG00000007047	MARK4	8029642	NA	0.606486884501195	0.1
ENSG00000007062	PROM1	8099476	0.676527765660579	1.00902271670513	1
ENSG00000007080	CCDC124	8026895	NA	0.383393620521998	0
ENSG00000007129	CEACAM21	8029076	NA	1.18400628836527	0.2
ENSG00000007168	PAFAH1B1	8003758	NA	0.257152247654899	0
ENSG00000007171	NOS2	8013536	NA	0.203736906188457	0
ENSG00000007174	DNAH9	8004957	NA	-0.676391118028557	-0.1
ENSG00000007202	KIAA0100	8013696	NA	-1.77280480220127	-0.5
ENSG00000007216	SLC13A2	8005879	NA	1.15589642757208	0.2
ENSG00000007237	GAS7	8012605	NA	1.00128417330143	0.2
ENSG00000007255	TRAPPC6A	8037505	NA	-1.64609776222651	-0.3
ENSG00000007264	MATK	8032682	NA	1.54013121279439	0.2
ENSG00000007306	CEACAM7	8037053	NA	-1.17920940156838	-0.2
ENSG00000007312	CD79B	8017511	NA	4.18602191258125	0.6
ENSG00000007314	SCN4A	8017521	NA	1.4881469339819	0.2
ENSG00000007341	ST7L	7918569	NA	-0.564493559487501	-0.1
ENSG00000007350	TKTL1	8170834	NA	4.01671021635309	0.4
ENSG00000007372	PAX6	7947338	NA	1.3474431637628	0.2
ENSG00000007376	RPUSD1	7998367	NA	-0.0694977625054082	0
ENSG00000007384	RHBDF1	7998136	NA	-1.31651124485092	-0.2
ENSG00000007392	LUC7L	7998174	NA	-0.103322715637037	0
ENSG00000007402	CACNA2D2	8087691	NA	-1.06870493994164	-0.3
ENSG00000007516	BAIAP3	7992219	0.818888054399121	-0.621466647458845	-0.2
ENSG00000007520	TSR3	7998449	NA	-0.607539603811579	-0.1
ENSG00000007541	PIGQ	7991904	NA	-2.0928308010952	-0.5
ENSG00000007866	TEAD3	8125887	NA	-0.517837905179457	-0.1
ENSG00000007908	SELE	7922229	0.0785363883660524	3.45055434526011	0.9
ENSG00000007923	DNAJC11	7912112	NA	-1.40366988301995	-0.2
ENSG00000007933	FMO3	7907249	0.983413179899911	-0.0836304070576931	0
ENSG00000007944	MYLIP	8117020	NA	-0.387392913981797	-0.1
ENSG00000007952	NOX1	8173979	NA	2.25176339478432	0.2
ENSG00000007968	E2F2	7913644	NA	1.46484756164705	0.2
ENSG00000008018	PSMB1	8130952	NA	-1.41355987756752	-0.3
ENSG00000008083	JARID2	8116998	NA	1.65798640992261	0.4
ENSG00000008086	CDKL5	8166289	NA	-0.585747759730368	-0.1
ENSG00000008118	CAMK1G	7909425	NA	0.545447725834441	0.1
ENSG00000008130	NADK	7911600	NA	-1.34161983655492	-0.1
ENSG00000008196	TFAP2B	8120194	0.511143186996947	-1.4009886598041	-1.3
ENSG00000008197	TFAP2D	8120184	NA	1.4677135586339	0.2
ENSG00000008226	DLEC1	8078690	NA	0.793895980483045	0.1
ENSG00000008256	CYTH3	8138067	NA	0.736413147172147	0.1
ENSG00000008277	ADAM22	8133983	NA	1.25593657258129	0.3
ENSG00000008282	SYPL1	8142110	NA	-1.27635274509179	-0.2
ENSG00000008283	CYB561	8017378	0.749822666913161	-0.829031607763135	-0.3
ENSG00000008294	SPAG9	8016745	NA	-0.166947683025229	0
ENSG00000008300	CELSR3	8087145	NA	-0.195234424822098	0
ENSG00000008311	AASS	8142554	0.954731488389098	-0.194902168227353	-0.1
ENSG00000008323	PLEKHG6	7953303	NA	0.256657473231453	0
ENSG00000008324	SS18L2	8079074	NA	1.15693630954183	0.2
ENSG00000008382	MPND	8024829	NA	1.06105250046464	0.1
ENSG00000008394	MGST1	7954196	0.96245108856514	-0.169852360793819	-0.1
ENSG00000008405	CRY1	7966052	NA	-3.02051244336727	-0.4
ENSG00000008438	PGLYRP1	8037742	NA	0.872855988953011	0.1
ENSG00000008441	NFIX	8026139	0.895882462243897	0.391659062848609	0.2
ENSG00000008513	ST3GAL1	8153021	0.749406637497088	0.829948600377522	0.3
ENSG00000008516	MMP25	7992811	NA	1.00703511580374	0.2
ENSG00000008517	IL32	7992828	NA	2.20866577242916	0.4
ENSG00000008710	PKD1	7998700	NA	-0.0171326758665482	0
ENSG00000008735	MAPK8IP2	8074108	NA	-1.27255425391061	-0.3
ENSG00000008838	MED24	8014925	NA	-1.02214878092174	-0.2
ENSG00000008853	RHOBTB2	8145227	NA	0.142459639343484	0
ENSG00000008869	HEATR5B	8051464	NA	0.364420955817957	0.1
ENSG00000008952	SEC62	8083826	NA	-0.684139025602824	-0.1
ENSG00000009307	CSDE1	7918825	NA	0.357295974712404	0.1
ENSG00000009335	UBE3C	8137596	NA	-0.29975328535189	0
ENSG00000009413	REV3L	8128894	0.536832478829337	-1.32767014496156	-0.4
ENSG00000009694	TENM1	8174937	0.98006468548589	0.101308457121826	0
ENSG00000009709	PAX7	7898537	NA	0.43647180264037	0.1
ENSG00000009724	MASP2	7912361	NA	-1.13206984346044	-0.1
ENSG00000009765	IYD	8122744	0.322524702237523	-1.94815065282001	-0.6
ENSG00000009780	FAM76A	7899350	NA	-1.10384149045665	-0.1
ENSG00000009790	TRAF3IP3	7909455	0.216450998862911	2.42605969546688	0.8
ENSG00000009830	POMT2	7980358	NA	-0.574135238073448	-0.1
ENSG00000009844	VTA1	8122348	NA	-1.33557692245084	-0.3
ENSG00000009950	MLXIPL	8140085	NA	-0.0383338082019113	0
ENSG00000009954	BAZ1B	8140037	NA	0.10392020403235	0
ENSG00000010017	RANBP9	8123989	NA	-1.73916700590189	-0.4
ENSG00000010030	ETV7	8125993	NA	0.239651074471715	0
ENSG00000010072	SPRTN	7910539	NA	-1.39977189993435	-0.4
ENSG00000010165	EEF1AKNMT	7907353	NA	-0.0861319000004021	0
ENSG00000010219	DYRK4	7953229	NA	-1.23142694879795	-0.2
ENSG00000010244	ZNF207	8006377	NA	-0.507949411202335	-0.1
ENSG00000010256	UQCRC1	8087100	NA	0.281588242814381	0.1
ENSG00000010270	STARD3NL	8132376	NA	-1.9604508264225	-0.4
ENSG00000010278	CD9	7953291	NA	-1.42270014417999	-0.4
ENSG00000010282	HHATL	8086419	NA	0.513971561126326	0
ENSG00000010292	NCAPD2	7953351	NA	0.495081591493138	0.1
ENSG00000010295	IFFO1	7960559	NA	1.42866855630629	0.2
ENSG00000010310	GIPR	8029728	NA	1.69036629512995	0.1
ENSG00000010318	PHF7	8080306	NA	-0.792619834708621	-0.1
ENSG00000010319	SEMA3G	8087907	NA	-1.07943739302317	-0.2
ENSG00000010322	NISCH	8080320	NA	-0.41005314479891	-0.1
ENSG00000010327	STAB1	8080344	0.865827916161184	0.490323075851095	0.2
ENSG00000010361	FUZ	8038443	NA	-1.72652620034128	-0.3
ENSG00000010379	SLC6A13	7960201	NA	-0.253459281087367	0
ENSG00000010438	PRSS3	8154848	NA	-0.223987927144171	0
ENSG00000010539	ZNF200	7998931	NA	0.250400071949398	0
ENSG00000010610	CD4	7953428	0.55862714934382	1.27300259209	0.5
ENSG00000010626	LRRC23	7953520	NA	-1.10033991067713	-0.2
ENSG00000010671	BTK	8174051	0.208017665969766	2.44817800046481	0.8
ENSG00000010704	HFE	8117343	0.999759648945386	-0.000846060618504136	0
ENSG00000010803	SCMH1	7915363	NA	0.626916450340489	0.2
ENSG00000010810	FYN	8128956	0.222948205702826	2.38618128459284	0.7
ENSG00000010818	HIVEP2	8129953	NA	1.65565549770654	0.4
ENSG00000010932	FMO1	7907286	NA	1.63481819259856	0.5
ENSG00000011007	ELOA	7898881	NA	-0.133425654490464	0
ENSG00000011009	LYPLA2	7898902	NA	1.41841738270247	0.2
ENSG00000011021	CLCN6	7897774	NA	-0.29009296783863	0
ENSG00000011028	MRC2	8009040	NA	1.73004655195433	0.4
ENSG00000011083	SLC6A7	8109236	NA	-1.14059139082082	-0.1
ENSG00000011105	TSPAN9	7953166	NA	-1.61316490045441	-0.3
ENSG00000011114	BTBD7	7980998	NA	-1.50136845743758	-0.2
ENSG00000011132	APBA3	8032670	NA	-1.02471030347714	-0.1
ENSG00000011143	MKS1	8016909	NA	-2.4304485745336	-0.3
ENSG00000011198	ABHD5	8079153	NA	-0.443552248519187	-0.1
ENSG00000011201	ANOS1	8171248	NA	-1.09850061480095	-0.3
ENSG00000011243	AKAP8L	8035023	NA	-1.16693261123056	-0.1
ENSG00000011258	MBTD1	8016789	NA	-0.168330131838599	0
ENSG00000011260	UTP18	8008530	NA	0.670967612145704	0.1
ENSG00000011275	RNF216	8137986	NA	-0.0870575861275159	0
ENSG00000011295	TTC19	8005141	NA	1.13591559770862	0.2
ENSG00000011304	PTBP1	8024019	NA	-1.61833589130261	-0.2
ENSG00000011332	DPF1	8036460	NA	0.511578150782432	0.1
ENSG00000011347	SYT7	7948588	NA	0.0456467744129588	0
ENSG00000011376	LARS2	8079311	NA	0.149057973423756	0
ENSG00000011405	PIK3C2A	7946815	NA	0.0613583048137023	0
ENSG00000011422	PLAUR	8037374	0.873553474914966	0.472180756506982	0.1
ENSG00000011426	ANLN	8132318	0.681100054121192	-0.996598853561545	-0.6
ENSG00000011451	WIZ	8035040	NA	0.281073034901505	0
ENSG00000011454	RABGAP1	8157700	NA	-0.445185228055706	-0.1
ENSG00000011465	DCN	7965410	0.987861832329527	-0.0667290974043465	0
ENSG00000011478	QPCTL	8029744	NA	0.41603958805427	0
ENSG00000011485	PPP5C	8029814	NA	0.561425535145075	0.1
ENSG00000011523	CEP68	8042326	NA	0.256366284452193	0
ENSG00000011566	MAP4K3	8051707	NA	-1.28914824112291	-0.2
ENSG00000011590	ZBTB32	8027947	NA	1.64830223388712	0.2
ENSG00000011600	TYROBP	8036224	NA	0.164859595069403	0
ENSG00000011638	TMEM159	7993807	NA	-0.707936320502012	-0.2
ENSG00000011677	GABRA3	8175696	0.939073822806834	-0.248041654009678	-0.1
ENSG00000012048	BRCA1	8015769	0.57764802079993	-1.22060237142678	-0.4
ENSG00000012061	ERCC1	8037579	NA	-0.535614997291417	-0.1
ENSG00000012124	CD22	8027837	0.0708194961207565	3.83713379251833	1.2
ENSG00000012171	SEMA3B	8079966	0.341157411477476	-1.88446977043354	-0.8
ENSG00000012174	MBTPS2	8166382	NA	-1.90866678176863	-0.4
ENSG00000012211	PRICKLE3	8172561	NA	0.350557012898606	0.1
ENSG00000012223	LTF	8086607	0.98834619810301	-0.0600712972204871	-0.1
ENSG00000012232	EXTL3	8145624	NA	1.71584760544712	0.3
ENSG00000012504	NR1H4	7957835	NA	1.83874188238004	0.3
ENSG00000012660	ELOVL5	8127145	0.509958902897077	-1.40379712302862	-0.7
ENSG00000012779	ALOX5	7927215	NA	1.50262233008709	0.4
ENSG00000012817	KDM5D	8177232	NA	0.0793315346336164	0
ENSG00000012822	CALCOCO1	7963721	NA	-0.207253663413996	0
ENSG00000012983	MAP4K5	7978997	NA	0.188040435817723	0
ENSG00000013016	EHD3	8041225	NA	2.34493250953857	0.5
ENSG00000013275	PSMC4	8028756	NA	-0.714045385744122	-0.2
ENSG00000013288	MAN2B2	8093916	NA	-2.49622796086114	-0.4
ENSG00000013293	SLC7A14	8092055	NA	0.814660384671288	0.1
ENSG00000013297	CLDN11	8083887	0.934752656334361	0.258913525090746	0.1
ENSG00000013306	SLC25A39	8016018	NA	-0.20538841880991	0
ENSG00000013364	MVP	7994659	NA	-1.51079247528239	-0.3
ENSG00000013374	NUB1	8137414	NA	0.1002260396042	0
ENSG00000013375	PGM3	8127841	NA	-0.46756078652971	-0.1
ENSG00000013392	RWDD2A	8120927	NA	-0.60747206618144	-0.1
ENSG00000013441	CLK1	8058127	NA	-1.31448069713359	-0.3
ENSG00000013503	POLR3B	7958275	NA	-0.669608446905618	-0.1
ENSG00000013523	ANGEL1	7980327	NA	-0.0885897381292226	0
ENSG00000013561	RNF14	8108847	NA	-1.21637990186429	-0.2
ENSG00000013563	DNASE1L1	8176076	NA	-1.4534507164225	-0.2
ENSG00000013583	HEBP1	7961390	NA	0.0691699408882241	0
ENSG00000013588	GPRC5A	7954065	0.269789834678904	-2.16153315421148	-1
ENSG00000013619	MAMLD1	8170420	NA	3.83345131931501	0.9
ENSG00000013725	CD6	7940391	NA	2.86030815813103	0.6
ENSG00000013810	TACC3	8093500	0.959234833989302	0.185647632551041	0.1
ENSG00000014123	UFL1	8121161	NA	-1.09198835798761	-0.2
ENSG00000014164	ZC3H3	8153411	NA	0.722938743284136	0.1
ENSG00000014216	CAPN1	7941179	NA	-1.06970643112901	-0.2
ENSG00000014257	ACP3	8082673	NA	-0.671221776800248	-0.2
ENSG00000014641	MDH1	8042259	NA	0.211516512995791	0
ENSG00000014824	SLC30A9	8094848	NA	-1.16885187924357	-0.2
ENSG00000015133	CCDC88C	7980773	NA	-0.54572469626142	-0.1
ENSG00000015153	YAF2	7962358	NA	0.0182813522728254	0
ENSG00000015171	ZMYND11	7925792	NA	-1.78987245556871	-0.4
ENSG00000015285	WAS	8167334	NA	3.03505353648701	0.4
ENSG00000015413	DPEP1	7997962	NA	0.801547169125283	0.1
ENSG00000015475	BID	8074261	NA	1.29516394569164	0.2
ENSG00000015520	NPC1L1	8139367	NA	-0.361913051579714	-0.1
ENSG00000015532	XYLT2	8008297	NA	-0.454908466203493	-0.1
ENSG00000015592	STMN4	8149898	NA	2.4716676982758	0.4
ENSG00000015676	NUDCD3	8139356	NA	-2.27500480709112	-0.3
ENSG00000016082	ISL1	8105220	NA	1.25347666962398	0.1
ENSG00000016391	CHDH	8088142	NA	-1.13057485562999	-0.3
ENSG00000016402	IL20RA	8129837	0.949992940390836	0.213936208419736	0.1
ENSG00000016490	CLCA1	7902721	NA	0.801333918262606	0.1
ENSG00000016602	CLCA4	7902738	NA	0.90606481567841	0.1
ENSG00000016864	GLT8D1	8087985	NA	-1.28647023864584	-0.3
ENSG00000017260	ATP2C1	8082607	NA	-0.355270121762955	-0.1
ENSG00000017427	IGF1	7965873	0.460554395909881	1.52111056343131	0.7
ENSG00000017483	SLC38A5	8172425	NA	1.05430014441922	0.3
ENSG00000017797	RALBP1	8020100	NA	0.305361124239317	0.1
ENSG00000018189	RUFY3	8095545	NA	0.200108052368543	0
ENSG00000018236	CNTN1	7954899	0.683470774617749	0.985758473730148	0.4
ENSG00000018280	SLC11A1	8048283	NA	2.40013597480238	0.5
ENSG00000018408	WWTR1	8091422	0.386400843263307	1.73647229505198	0.5
ENSG00000018510	AGPS	8046604	0.991723931919565	-0.040819059566618	0
ENSG00000018610	STEEP1	8174677	NA	0.403570616280988	0.1
ENSG00000018625	ATP1A2	7906501	NA	0.76144495262164	0.2
ENSG00000018699	TTC27	8041360	NA	0.82972641777396	0.1
ENSG00000018869	ZNF582	8039586	NA	-1.02943991955076	-0.1
ENSG00000019102	VSIG2	7952426	NA	-0.477979968457303	-0.1
ENSG00000019144	PHLDB1	7944302	NA	-0.457744562330019	-0.1
ENSG00000019169	MARCO	8044773	NA	0.0572622263972781	0
ENSG00000019186	CYP24A1	8067140	0.83219323882897	-0.59061367895317	-0.3
ENSG00000019485	PRDM11	7939569	NA	0.531714698447752	0.1
ENSG00000019505	SYT13	7947590	0.28213996716324	-2.10635530446503	-0.6
ENSG00000019549	SNAI2	8150698	NA	0.485414124283808	0.1
ENSG00000019582	CD74	8115147	0.681100054121192	0.997912784604817	0.4
ENSG00000019991	HGF	8140556	NA	1.42945865065375	0.4
ENSG00000019995	ZRANB1	7931226	NA	1.19636438689228	0.2
ENSG00000020129	NCDN	7899990	NA	0.933267478539736	0.1
ENSG00000020181	ADGRA2	8145865	NA	0.890889266789088	0.2
ENSG00000020219	CCT8L1P	8137468	NA	-1.22417329319419	-0.1
ENSG00000020256	ZFP64	8067094	NA	-0.32452910337753	-0.1
ENSG00000020426	MNAT1	7974799	NA	-0.298888065953007	-0.1
ENSG00000020577	SAMD4A	7974425	NA	0.14831841751761	0
ENSG00000020633	RUNX3	7913805	NA	2.37553452847211	0.5
ENSG00000020922	MRE11	7951046	NA	0.476676085166379	0.1
ENSG00000021300	PLEKHB1	7942453	0.585693045166179	1.19625529942555	0.8
ENSG00000021355	SERPINB1	8123598	NA	-1.75431502624506	-0.4
ENSG00000021461	CYP3A43	8134655	NA	0.852753952562289	0.1
